"","Date","Geography","Keyword","Relative Search Intensity"
"336","December 2012","US-WI","ice cream",40.9090909090909
"337","January 2013","US-WI","ice cream",41.8181818181818
"338","February 2013","US-WI","ice cream",36
"339","March 2013","US-WI","ice cream",48.6315789473684
"340","April 2013","US-WI","ice cream",45.2222222222222
"341","May 2013","US-WI","ice cream",54.1666666666667
"342","June 2013","US-WI","ice cream",58.5
"343","July 2013","US-WI","ice cream",74.5714285714286
"344","August 2013","US-WI","ice cream",58.125
"345","September 2013","US-WI","ice cream",35.3846153846154
"346","October 2013","US-WI","ice cream",30.1818181818182
"347","November 2013","US-WI","ice cream",34.0869565217391
"348","December 2013","US-WI","ice cream",34.875
"349","January 2014","US-WI","ice cream",36
"350","February 2014","US-WI","ice cream",40.2857142857143
"351","March 2014","US-WI","ice cream",44.5238095238095
"352","January 2011","US-WI","cat",217.263157894737
"353","February 2011","US-WI","cat",233.470588235294
"354","March 2011","US-WI","cat",195.833333333333
"355","April 2011","US-WI","cat",221.176470588235
"356","May 2011","US-WI","cat",216.176470588235
"357","June 2011","US-WI","cat",217.888888888889
"358","July 2011","US-WI","cat",215.333333333333
"359","August 2011","US-WI","cat",204
"360","September 2011","US-WI","cat",179.608695652174
"361","October 2011","US-WI","cat",217.25
"362","November 2011","US-WI","cat",227.142857142857
"363","December 2011","US-WI","cat",205.086956521739
"364","January 2012","US-WI","cat",228.857142857143
"365","February 2012","US-WI","cat",221
"366","March 2012","US-WI","cat",192.4
"367","April 2012","US-WI","cat",238.588235294118
"368","May 2012","US-WI","cat",208.941176470588
"369","June 2012","US-WI","cat",221
"370","July 2012","US-WI","cat",211.473684210526
"371","August 2012","US-WI","cat",209.090909090909
"372","September 2012","US-WI","cat",176.375
"373","October 2012","US-WI","cat",228.684210526316
"374","November 2012","US-WI","cat",218.818181818182
"375","December 2012","US-WI","cat",261.818181818182
"376","January 2013","US-WI","cat",250.909090909091
"377","February 2013","US-WI","cat",240
"378","March 2013","US-WI","cat",252
"379","April 2013","US-WI","cat",222
"380","May 2013","US-WI","cat",220.833333333333
"381","June 2013","US-WI","cat",210.6
"382","July 2013","US-WI","cat",223.714285714286
"383","August 2013","US-WI","cat",228.625
"384","September 2013","US-WI","cat",187.538461538462
"385","October 2013","US-WI","cat",226.363636363636
"386","November 2013","US-WI","cat",242.869565217391
"387","December 2013","US-WI","cat",248
"388","January 2014","US-WI","cat",244
"389","February 2014","US-WI","cat",273.047619047619
"390","March 2014","US-WI","cat",234.761904761905
"391","January 2011","US-WI","sauce",86
"392","February 2011","US-WI","sauce",81
"393","March 2011","US-WI","sauce",75
"394","April 2011","US-WI","sauce",80
"395","May 2011","US-WI","sauce",75
"396","June 2011","US-WI","sauce",74
"397","July 2011","US-WI","sauce",76
"398","August 2011","US-WI","sauce",80
"399","September 2011","US-WI","sauce",81
"400","October 2011","US-WI","sauce",79
"401","November 2011","US-WI","sauce",90
"402","December 2011","US-WI","sauce",89
"403","January 2012","US-WI","sauce",89
"404","February 2012","US-WI","sauce",85
"405","March 2012","US-WI","sauce",74
"406","April 2012","US-WI","sauce",78
